OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
583,Mucopolysaccharidosis type 6,Childhood,Autosomal recessive,2,7
166272,Odontochondrodysplasia,"Infancy, Neonatal",Autosomal recessive,1,2
576,Mucolipidosis type II,"Antenatal, Neonatal",Autosomal recessive,1,2
166277,Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia,Childhood,Unknown,2,7
812,Sialidosis type 1,"Adolescent, Childhood",Autosomal recessive,2,7
166282,Hereditary sick sinus syndrome,"Adult, Elderly","Autosomal dominant, Autosomal recessive",3,13
578,Mucolipidosis type IV,Infancy,Autosomal recessive,2,1
166286,Porokeratotic eccrine ostial and dermal duct nevus,"Infancy, Neonatal",Not applicable,2,14
577,Mucolipidosis type III,Childhood,Autosomal recessive,2,7
166291,Dirofilariasis,All ages,Not applicable,3,5
166308,Benign infantile focal epilepsy with midline spikes and waves during sleep,Infancy,Unknown,2,14
2912,Poliomyelitis,Childhood,Not applicable,2,7
796,Sandhoff disease,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,1
166409,Photosensitive occipital lobe epilepsy,"Adolescent, Adult, Childhood",Unknown,2,8
801,Scleroderma,All ages,Not applicable,3,10
461,Recessive X-linked ichthyosis,Neonatal,X-linked recessive,3,8
166421,Orgasm-induced epilepsy,Adult,Unknown,3,0
166418,Eating reflex epilepsy,All ages,Unknown,3,6
584,Mucopolysaccharidosis type 7,"Adolescent, Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
166412,Hot water reflex epilepsy,All ages,Autosomal dominant,3,4
166433,Epilepsy with reading-induced seizures,"Adolescent, Adult",Unknown,3,6
881,Turner syndrome,"Antenatal, Childhood, Infancy, Neonatal","Not applicable, Unknown",2,8
95,Friedreich ataxia,"Adolescent, Childhood",Autosomal recessive,2,7
848,Beta-thalassemia,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2,1
846,Alpha-thalassemia,All ages,Autosomal recessive,3,4
586,Cystic fibrosis,All ages,Autosomal recessive,3,4
262,Duchenne and Becker muscular dystrophy,"Adolescent, Adult, Childhood",X-linked recessive,2,14
261,Emery-Dreifuss muscular dystrophy,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2,7
550,MELAS,"Adolescent, Adult, Childhood","Mitochondrial inheritance, Not applicable",2,7
269,Facioscapulohumeral dystrophy,All ages,Autosomal dominant,3,13
480,Kearns-Sayre syndrome,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, Mitochondrial inheritance, Not applicable",2,1
593,Myofibrillar myopathy,Adult,"Autosomal dominant, Autosomal recessive",3,4
551,MERRF,"Adult, Childhood",Mitochondrial inheritance,2,7
597,Central core disease,Childhood,Autosomal dominant,2,1
607,Nemaline myopathy,All ages,"Autosomal dominant, Autosomal recessive, Not applicable",3,5
163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,"Infancy, Neonatal",Autosomal dominant,2,1
684,Paramyotonia congenita of Von Eulenburg,"Adolescent, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
163931,Acrodermatitis continua of Hallopeau,Adult,Autosomal recessive,3,4
273,Steinert myotonic dystrophy,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
163927,Pustulosis palmaris et plantaris,Unknown,"Autosomal dominant, Autosomal recessive",3,11
163937,"X-linked intellectual disability, Najm type","Infancy, Neonatal",X-linked dominant,2,1
163934,Atopic keratoconjunctivitis,All ages,Not applicable,3,10
614,Thomsen and Becker disease,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive",2,1
163921,Posttransplant acute limbic encephalitis,All ages,Unknown,3,6
163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type","Infancy, Neonatal",X-linked dominant,2,1
163971,"X-linked intellectual disability, Cilliers type","Infancy, Neonatal",X-linked recessive,2,14
163976,"X-linked intellectual disability, Van Esch type","Infancy, Neonatal",X-linked recessive,2,1
163979,X-linked intellectual disability-craniofacioskeletal syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
163956,"X-linked intellectual disability, Nascimento type",Infancy,X-linked recessive,2,7
163961,X-linked cerebral-cerebellar-coloboma syndrome,"Infancy, Neonatal",X-linked recessive,2,1
164726,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,"Adult, Elderly",Unknown,3,0
324,Fabry disease,"Adolescent, Adult, Childhood","X-linked dominant, X-linked recessive",2,7
163985,Hyperekplexia-epilepsy syndrome,Neonatal,X-linked recessive,3,1
778,Rett syndrome,Infancy,X-linked dominant,2,8
72,Angelman syndrome,Infancy,Not applicable,2,1
307,Juvenile myoclonic epilepsy,"Adolescent, Childhood",Multigenic/multifactorial,2,1
1941,Juvenile absence epilepsy,Adolescent,"Multigenic/multifactorial, Unknown",3,14
892,Von Hippel-Lindau disease,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
731,Autosomal recessive polycystic kidney disease,All ages,Autosomal recessive,3,4
164736,Familial advanced sleep-phase syndrome,"Adolescent, Childhood",Autosomal dominant,2,1
138,CHARGE syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3,8
558,Marfan syndrome,All ages,Autosomal dominant,3,4
803,Amyotrophic lateral sclerosis,Adult,"Autosomal dominant, Autosomal recessive, Not applicable",3,13
100,Ataxia-telangiectasia,"Childhood, Infancy",Autosomal recessive,2,1
733,Familial adenomatous polyposis,Adult,"Autosomal dominant, Autosomal recessive",3,13
399,Huntington disease,"Adolescent, Adult, Childhood, Elderly",Autosomal dominant,2,7
165955,Wound myiasis,"Adult, Elderly",Not applicable,3,5
501,Lafora disease,"Adolescent, Childhood",Autosomal recessive,2,7
165958,Cavitary myiasis,All ages,Not applicable,3,5
870,Down syndrome,"Antenatal, Neonatal",Not applicable,3,8
512,Metachromatic leukodystrophy,"Adolescent, Adult, Childhood, Infancy",Autosomal recessive,2,1
166016,"Multiple epiphyseal dysplasia, Lowry type",Neonatal,Unknown,3,14
567,22q11.2 deletion syndrome,All ages,Autosomal dominant,3,4
232,Sickle cell anemia,All ages,Autosomal recessive,3,4
536,Systemic lupus erythematosus,"Adolescent, Adult, Childhood, Infancy",Not applicable,2,8
166002,Multiple epiphyseal dysplasia due to collagen 9 anomaly,"Adolescent, Childhood",Autosomal dominant,2,7
534,Oculocerebrorenal syndrome of Lowe,"Antenatal, Neonatal",X-linked recessive,3,8
790,Retinoblastoma,"Antenatal, Childhood, Infancy","Autosomal dominant, Not applicable",2,1
165991,Exercise-induced hyperinsulinism,"Adolescent, Adult",Autosomal dominant,3,4
652,Multiple endocrine neoplasia type 1,All ages,"Autosomal dominant, Not applicable",3,10
908,Fragile X syndrome,"Childhood, Infancy, Neonatal",X-linked dominant,2,8
3099,Rheumatic fever,Childhood,Not applicable,2,1
739,Prader-Willi syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3,8
47,X-linked agammaglobulinemia,Childhood,X-linked recessive,2,7
580,Mucopolysaccharidosis type 2,Childhood,X-linked recessive,2,7
579,Mucopolysaccharidosis type 1,All ages,Autosomal recessive,3,4
905,Wilson disease,"Adolescent, Adult, Childhood, Elderly",Autosomal recessive,2,7
792,X-linked retinoschisis,"Adolescent, Adult, Childhood, Infancy",X-linked recessive,2,8
163525,Subacute cutaneous lupus erythematosus,"Adult, Elderly",Unknown,3,0
827,Stargardt disease,"Adolescent, Adult, Childhood, Elderly","Autosomal dominant, Autosomal recessive",2,8
163531,Chronic cutaneous lupus erythematosus,"Adolescent, Adult, Childhood, Elderly",Multigenic/multifactorial,2,14
906,Wiskott-Aldrich syndrome,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable, X-linked recessive",1,2
904,Williams syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
280,Wolf-Hirschhorn syndrome,"Antenatal, Neonatal","Multigenic/multifactorial, Not applicable",3,8
162516,Isolated congenital nasal pyriform aperture stenosis,Neonatal,Unknown,3,8
15,Achondroplasia,"Antenatal, Neonatal",Autosomal dominant,3,8
96,Ataxia with vitamin E deficiency,All ages,Autosomal recessive,3,4
101,Dentatorubral pallidoluysian atrophy,All ages,Autosomal dominant,3,13
783,Rubinstein-Taybi syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3,8
163649,Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
631,Non-acquired isolated growth hormone deficiency,Neonatal,"Autosomal dominant, Autosomal recessive, X-linked recessive",1,12
276,T-B+ severe combined immunodeficiency due to gamma chain deficiency,Neonatal,X-linked recessive,3,8
163654,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,"Infancy, Neonatal",Unknown,2,14
481,Kennedy disease,Adult,X-linked recessive,3,0
664,Ornithine transcarbamylase deficiency,All ages,X-linked recessive,3,4
163668,"Spondyloepiphyseal dysplasia, MacDermot type","Infancy, Neonatal",Autosomal dominant,2,1
163662,"Spondyloepiphyseal dysplasia, Reardon type","Infancy, Neonatal",Autosomal dominant,2,1
394,Homocystinuria due to cystathionine beta-synthase deficiency,"Adolescent, Adult, Childhood",Autosomal recessive,2,7
163665,"Spondyloepiphyseal dysplasia tarda, Kohn type",Childhood,Autosomal recessive,2,7
508,Donohue syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
436,Hypophosphatasia,All ages,"Autosomal dominant, Autosomal recessive",3,13
163596,Hemoglobin Bart's fetalis syndrome,"Antenatal, Neonatal",Autosomal recessive,1,12
429,Hypochondroplasia,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,8
437,Hypophosphatemic rickets,All ages,"Autosomal dominant, Autosomal recessive, X-linked dominant",3,4
104,Leber hereditary optic neuropathy,"Adolescent, Adult",Mitochondrial inheritance,3,4
2182,Hydrocephalus with stenosis of the aqueduct of Sylvius,"Antenatal, Neonatal",X-linked recessive,3,8
163634,Maffucci syndrome,Childhood,Not applicable,2,7
163717,Familial mesial temporal lobe epilepsy,"Adolescent, Adult",Autosomal dominant,3,4
163708,Cryptogenic late-onset epileptic spasms,Childhood,Unknown,2,14
636,Neurofibromatosis type 1,"Infancy, Neonatal",Autosomal dominant,2,8
163703,Febrile infection-related epilepsy syndrome,All ages,Not applicable,3,5
649,Norrie disease,"Antenatal, Neonatal",X-linked recessive,3,1
163727,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,Infancy,Autosomal recessive,2,7
163721,Rolandic epilepsy-speech dyspraxia syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, X-linked dominant",2,8
163684,Leukoencephalopathy-dystonia-motor neuropathy syndrome,Childhood,Autosomal recessive,2,7
163681,CNTNAP2-related developmental and epileptic encephalopathy,Infancy,Autosomal recessive,2,12
379,Chronic granulomatous disease,"Adolescent, Adult, Childhood, Infancy","Autosomal recessive, X-linked recessive",2,7
16,Blue cone monochromatism,Infancy,X-linked recessive,2,8
644,NARP syndrome,Childhood,Mitochondrial inheritance,2,8
163699,Alveolar soft tissue sarcoma,All ages,Not applicable,3,10
637,Full NF2-related schwannomatosis,All ages,Autosomal dominant,3,4
163696,Action myoclonus-renal failure syndrome,"Adolescent, Adult",Autosomal recessive,3,4
181,X-linked hypohidrotic ectodermal dysplasia,"Childhood, Infancy",X-linked recessive,2,1
163693,2p21 microdeletion syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
163690,Hypotonia-cystinuria syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
337,Fibrodysplasia ossificans progressiva,Childhood,"Autosomal dominant, Not applicable",2,7
377,Gorlin syndrome,"Adolescent, Adult",Autosomal dominant,3,4
648,Noonan syndrome,"Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,12
281,Monosomy 5p syndrome,Antenatal,"Not applicable, Unknown",3,8
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency","Adolescent, Neonatal",Autosomal recessive,1,2
214,Cystinuria,All ages,"Autosomal recessive, Semi-dominant",3,4
510,Lesch-Nyhan syndrome,Infancy,X-linked recessive,2,1
524,Li-Fraumeni syndrome,All ages,Autosomal dominant,3,4
699,Pearson syndrome,"Childhood, Infancy, Neonatal","Mitochondrial inheritance, Not applicable",2,1
640,Hereditary neuropathy with liability to pressure palsies,"Adolescent, Adult, Childhood, Elderly, Infancy",Autosomal dominant,2,8
60,Alpha-1-antitrypsin deficiency,All ages,Autosomal recessive,3,4
895,Waardenburg syndrome type 2,Neonatal,Autosomal dominant,3,1
896,Waardenburg syndrome type 3,Neonatal,"Autosomal dominant, Autosomal recessive",1,12
857,Townes-Brocks syndrome,All ages,Autosomal dominant,3,13
894,Waardenburg syndrome type 1,Neonatal,Autosomal dominant,3,8
682,Hyperkalemic periodic paralysis,Childhood,Autosomal dominant,2,7
800,Schwartz-Jampel syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
628,Diastrophic dysplasia,"Antenatal, Neonatal",Autosomal recessive,1,12
673,Malaria,All ages,Not applicable,3,5
681,Hypokalemic periodic paralysis,"Adolescent, Childhood",Autosomal dominant,2,1
126,Blepharophimosis-ptosis-epicanthus inversus syndrome,Antenatal,"Autosomal dominant, Not applicable",3,8
107,BOR syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,8
774,Hereditary hemorrhagic telangiectasia,All ages,Autosomal dominant,3,4
794,Saethre-Chotzen syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
710,Pfeiffer syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
2869,Peutz-Jeghers syndrome,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
893,WAGR syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
912,Zellweger syndrome,Neonatal,Autosomal recessive,1,12
50,Aicardi syndrome,Neonatal,X-linked dominant,3,1
53,Albers-Schönberg osteopetrosis,Childhood,Autosomal dominant,2,1
14,Abetalipoproteinemia,"Childhood, Infancy",Autosomal recessive,2,7
52,Alagille syndrome,All ages,Autosomal dominant,3,13
167,Chédiak-Higashi syndrome,Childhood,Autosomal recessive,2,7
195,Cat-eye syndrome,"Antenatal, Neonatal",Not applicable,3,8
207,Crouzon syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,1
205,Crigler-Najjar syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
160148,Cap polyposis,"Adolescent, Adult, Childhood, Elderly",Not applicable,2,7
201,Cowden syndrome,All ages,Autosomal dominant,3,13
192,Coffin-Lowry syndrome,"Childhood, Infancy, Neonatal",X-linked dominant,2,8
2442,X-linked lymphoproliferative disease,"Adolescent, Adult, Childhood, Infancy",X-linked recessive,2,7
169808,Mild hemophilia A,"Infancy, Neonatal",X-linked recessive,2,8
169802,Severe hemophilia A,"Infancy, Neonatal",X-linked recessive,2,8
169805,Moderate hemophilia A,"Infancy, Neonatal",X-linked recessive,2,8
562,McCune-Albright syndrome,Childhood,Not applicable,2,7
565,Menkes disease,Neonatal,X-linked recessive,3,1
2443,Mitochondrial oxidative phosphorylation disorder due to nuclear DNA anomalies,All ages,Autosomal recessive,3,4
474,Jeune syndrome,"Antenatal, Neonatal",Autosomal recessive,1,12
540,Familial hemophagocytic lymphohistiocytosis,"Adolescent, Infancy",Autosomal recessive,2,1
568,"Microphthalmia, Lenz type",Neonatal,X-linked recessive,3,8
564,Meckel syndrome,Antenatal,Autosomal recessive,1,2
289,Ellis Van Creveld syndrome,"Antenatal, Neonatal",Autosomal recessive,1,12
258,Laminin subunit alpha 2-related congenital muscular dystrophy,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,12
1247,Schistosomiasis,All ages,Not applicable,3,5
112,Bartter syndrome,"Adolescent, Adult, Antenatal, Childhood, Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1,12
1646,Chromosome Y microdeletion syndrome,Adult,"Not applicable, Y-linked",3,10
169464,Primary CD59 deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
99,Autosomal dominant cerebellar ataxia,All ages,Autosomal dominant,3,13
116,Beckwith-Wiedemann syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3,8
87,Apert syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
97,Familial paroxysmal ataxia,Childhood,Autosomal dominant,2,1
169467,Recurrent Neisseria infections due to factor D deficiency,Unknown,Autosomal recessive,3,3
313,Lamellar ichthyosis,Neonatal,"Autosomal dominant, Autosomal recessive",1,2
169799,Mild hemophilia B,"Infancy, Neonatal",X-linked recessive,2,1
169796,Moderate hemophilia B,"Infancy, Neonatal",X-linked recessive,2,1
169793,Severe hemophilia B,"Infancy, Neonatal",X-linked recessive,2,1
1000,Ocular albinism with late-onset sensorineural deafness,Adult,X-linked recessive,3,0
999,Ermine phenotype,Neonatal,Autosomal recessive,1,2
171430,Severe congenital nemaline myopathy,"Infancy, Neonatal",Autosomal recessive,1,2
171433,Intermediate nemaline myopathy,Neonatal,"Autosomal dominant, Autosomal recessive",1,2
171436,Typical nemaline myopathy,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,12
171439,Childhood-onset nemaline myopathy,Childhood,Autosomal dominant,2,7
55,Oculocutaneous albinism,Neonatal,Autosomal recessive,1,12
171442,Adult-onset nemaline myopathy,Adult,Not applicable,3,5
171445,Muscle filaminopathy,Adult,Autosomal dominant,3,13
171607,X-linked spastic paraplegia type 34,"Adolescent, Adult, Childhood",X-linked recessive,2,7
2771,Bruck syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
171612,Autosomal dominant spastic paraplegia type 37,All ages,Autosomal dominant,3,13
171617,Autosomal dominant spastic paraplegia type 38,Childhood,Autosomal dominant,2,7
1349,Mitochondrial DNA-related cardiomyopathy and hearing loss,"Adult, Childhood",Mitochondrial inheritance,2,7
171622,Autosomal recessive spastic paraplegia type 32,Childhood,Autosomal recessive,2,7
171629,Autosomal recessive spastic paraplegia type 35,"Adolescent, Childhood",Autosomal recessive,2,7
861,Treacher-Collins syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1,12
308,Progressive myoclonic epilepsy type 1,"Adolescent, Childhood",Autosomal recessive,2,12
199,Cornelia de Lange syndrome,"Antenatal, Neonatal","Autosomal dominant, Not applicable, X-linked recessive",3,8
2162,Holoprosencephaly,"Antenatal, Neonatal","Autosomal recessive, Multigenic/multifactorial, Not applicable, Oligogenic, X-linked dominant",1,12
930,Idiopathic achalasia,All ages,"Autosomal recessive, Not applicable",3,4
998,Albinism-deafness syndrome,Neonatal,X-linked recessive,3,1
1727,22q11.2 duplication syndrome,All ages,Autosomal dominant,3,4
169079,Cernunnos-XLF deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
1716,Distal duplication 18q syndrome,"Antenatal, Neonatal",Unknown,3,8
1715,Trisomy 18p syndrome,"Adolescent, Adult, Childhood, Infancy",Unknown,2,14
3380,Trisomy 18 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,8
168984,CLAPO syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
1707,Distal duplication 15q syndrome,"Antenatal, Neonatal",Unknown,3,8
168999,Malignant melanoma of the mucosa,"Adult, Elderly",Unknown,3,0
3378,Trisomy 13 syndrome,"Antenatal, Neonatal","Not applicable, Unknown",3,8
169100,Immunodeficiency due to CD25 deficiency,Infancy,Autosomal recessive,2,7
169105,Thymoma-hypogammaglobulinemia syndrome,Adult,Unknown,3,6
169090,Combined immunodeficiency due to CRAC channel dysfunction,"Infancy, Neonatal",Autosomal recessive,1,2
236,Trisomy 9p syndrome,"Antenatal, Neonatal",Unknown,3,14
169095,Severe combined immunodeficiency due to FOXN1 deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
169082,Combined immunodeficiency due to CD3gamma deficiency,Infancy,Autosomal recessive,2,12
169085,Susceptibility to respiratory infections associated with CD8alpha chain mutation,"Infancy, Neonatal",Autosomal recessive,1,2
168829,Primary peritoneal carcinoma,Adult,Unknown,3,6
168816,Peritoneal inclusion cyst,Adult,Unknown,3,6
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency","Adolescent, Childhood, Infancy, Neonatal",Autosomal recessive,1,12
868,Triose phosphate-isomerase deficiency,Neonatal,Autosomal recessive,1,2
168811,Malignant peritoneal mesothelioma,Adult,"Multigenic/multifactorial, Not applicable",3,5
218,Darier disease,"Adolescent, Adult, Childhood",Autosomal dominant,2,1
168796,"Heart-hand syndrome, Slovenian type",Adult,Autosomal dominant,3,13
1465,Coffin-Siris syndrome,"Antenatal, Neonatal",Autosomal dominant,3,1
168782,Childhood disintegrative disorder,Childhood,Not applicable,2,8
1642,Distal deletion 9p syndrome,"Infancy, Neonatal",Unknown,2,14
168966,Composite lymphoma,"Adult, Elderly",Unknown,3,0
168960,Refractory anemia with excess blasts in transformation,"Adolescent, Adult, Elderly",Unknown,3,6
8,"47,XYY syndrome",All ages,Not applicable,3,10
1636,Distal monosomy 7q36 syndrome,"Antenatal, Neonatal",Unknown,3,14
168956,Hypereosinophilic syndrome,All ages,"Not applicable, Unknown",3,5
1600,Monosomy 18q syndrome,"Antenatal, Neonatal",Autosomal dominant,3,8
1598,Monosomy 18p syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2,8
168940,Chronic eosinophilic leukemia,"Adolescent, Adult, Childhood",Not applicable,2,14
2773,Osteogenesis imperfecta-retinopathy-seizures-intellectual disability syndrome,"Infancy, Neonatal",Unknown,2,14
2772,Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
2609,Isolated complex I deficiency,All ages,"Autosomal recessive, Mitochondrial inheritance, X-linked dominant",3,4
626,Large/giant congenital melanocytic nevus,"Infancy, Neonatal",Multigenic/multifactorial,2,8
773,Adult Refsum disease,"Adolescent, Adult, Childhood",Autosomal recessive,2,7
11,Pentasomy X syndrome,Neonatal,Unknown,3,8
169154,T-B+ severe combined immunodeficiency due to IL-7Ralpha deficiency,Infancy,Autosomal recessive,2,7
370,Glycogen storage disease due to phosphorylase kinase deficiency,All ages,"Autosomal recessive, X-linked recessive",3,4
169150,Immunodeficiency due to a late component of complement deficiency,Unknown,Autosomal recessive,3,3
169160,T-B+ severe combined immunodeficiency due to CD3delta/CD3epsilon/CD3zeta,Infancy,Autosomal recessive,2,12
385,Neurodegeneration with brain iron accumulation,"Adolescent, Adult, Childhood, Infancy","Autosomal dominant, Autosomal recessive, X-linked dominant",2,1
169157,T-B+ severe combined immunodeficiency due to CD45 deficiency,Infancy,Autosomal recessive,2,7
1947,Northern epilepsy,Childhood,Autosomal recessive,2,1
169147,Immunodeficiency due to a classical component pathway complement deficiency,Unknown,Autosomal recessive,3,3
169142,Recurrent infections due to specific granule deficiency,"Infancy, Neonatal",Autosomal recessive,1,12
352,Galactosemia,"Childhood, Infancy, Neonatal",Autosomal recessive,1,12
596,X-linked centronuclear myopathy,"Antenatal, Neonatal",X-linked recessive,3,8
610,Bethlem muscular dystrophy,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2,7
169186,Autosomal recessive centronuclear myopathy,"Childhood, Infancy, Neonatal",Autosomal recessive,1,12
464,Incontinentia pigmenti,Neonatal,X-linked dominant,3,1
3307,Tetrasomy 18p syndrome,"Antenatal, Neonatal",Not applicable,3,8
169189,Autosomal dominant centronuclear myopathy,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant,2,8
44,Neonatal adrenoleukodystrophy,"Childhood, Infancy, Neonatal",Autosomal recessive,1,12
56,Alkaptonuria,"Adult, Infancy",Autosomal recessive,2,1
963,Acromegaly,"Adolescent, Adult, Childhood, Elderly, Infancy",Not applicable,2,1
1059,Blue rubber bleb nevus,Childhood,"Autosomal dominant, Not applicable",2,1
1006,Alopecia antibody deficiency,"Childhood, Infancy",Unknown,2,14
1046,Lethal hemolytic anemia-genital anomalies syndrome,Neonatal,Unknown,3,14
22,Succinic semialdehyde dehydrogenase deficiency,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
29,Mevalonic aciduria,"Childhood, Infancy, Neonatal",Autosomal recessive,1,2
245,Nager syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive, Not applicable",1,12
30,Hereditary orotic aciduria,"Infancy, Neonatal",Autosomal recessive,1,2
36,Acrocallosal syndrome,"Antenatal, Neonatal",Autosomal recessive,1,2
915,Aarskog-Scott syndrome,Childhood,"Autosomal dominant, Autosomal recessive, X-linked recessive",2,7
2614,Nail-patella syndrome,"Antenatal, Childhood, Infancy, Neonatal",Autosomal dominant,2,1
33,Isovaleric acidemia,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal recessive,1,2
819,Smith-Magenis syndrome,"Adolescent, Adult, Childhood, Infancy, Neonatal",Autosomal dominant,2,8
3085,Retinitis pigmentosa-intellectual disability-deafness-hypogonadism syndrome,Childhood,Autosomal recessive,2,7
9,Tetrasomy X syndrome,"Infancy, Neonatal",Unknown,2,14
168615,Hereditary persistence of alpha-fetoprotein,Adolescent,Autosomal dominant,3,4
168612,Congenital deficiency in alpha-fetoprotein,"Antenatal, Neonatal",Autosomal recessive,1,2
1442,Ring chromosome 18 syndrome,"Antenatal, Infancy, Neonatal",Unknown,2,14
168621,"Dysplasia of head of femur, Meyer type","Infancy, Neonatal",Unknown,2,8
1452,Cleidocranial dysplasia,"Antenatal, Neonatal","Autosomal dominant, Not applicable",3,8
168629,Autosomal thrombocytopenia with normal platelets,Unknown,"Autosomal dominant, Autosomal recessive",3,3
193,Cohen syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,12
168624,"Familial scaphocephaly syndrome, McGillivray type","Infancy, Neonatal",Autosomal dominant,2,1
1488,Cooper-Jabs syndrome,Neonatal,Autosomal recessive,1,2
200,Isolated corpus callosum agenesis,Antenatal,Not applicable,3,8
168632,Generalized basaloid follicular hamartoma syndrome,Unknown,Autosomal dominant,3,11
1334,Chronic mucocutaneous candidiasis,"Childhood, Infancy","Autosomal dominant, Autosomal recessive",2,1
168583,Hereditary North American Indian childhood cirrhosis,"Infancy, Neonatal",Autosomal recessive,1,2
1369,Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
168577,Hereditary cryohydrocytosis with reduced stomatin,"Infancy, Neonatal",Autosomal dominant,2,1
168593,Sudden infant death-dysgenesis of the testes syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
1406,Charlie M syndrome,Neonatal,Not applicable,3,14
168588,Hyperandrogenism due to cortisone reductase deficiency,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,2
168601,Congenital enteropathy due to enteropeptidase deficiency,"Infancy, Neonatal",Autosomal recessive,1,12
1414,Cholestasis-lymphedema syndrome,"Infancy, Neonatal",Autosomal recessive,1,2
168598,Methionine adenosyltransferase I/III deficiency,Infancy,Autosomal recessive,2,7
168606,Seborrhea-like dermatitis with psoriasiform elements,Childhood,Autosomal dominant,2,7
168549,Axial spondylometaphyseal dysplasia,"Childhood, Infancy",Autosomal recessive,2,7
168552,Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome,Infancy,Autosomal recessive,2,7
1154,Arthrogryposis-oculomotor limitation-electroretinal anomalies syndrome,Neonatal,"Autosomal dominant, Autosomal recessive",1,12
168555,"Spondylometaphyseal dysplasia, A4 type",Infancy,Autosomal recessive,2,7
168558,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency","Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1,2
