OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier,cluster
281127,Acral self-healing collodion baby,"Infancy, Neonatal","Autosomal recessive, Unknown",1,2
280628,Familial progressive hyper- and hypopigmentation,"Infancy, Neonatal",Autosomal dominant,2,1
280633,Multiple congenital anomalies-hypotonia-seizures syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1,2
280615,Low oxygen affinity gamma chain hemoglobin disease,"Infancy, Neonatal",Autosomal dominant,2,1
280598,Hereditary sensorimotor neuropathy with hyperelastic skin,All ages,Autosomal dominant,3,13
280620,Progressive myoclonic epilepsy type 6,Childhood,Autosomal recessive,2,7
280671,Megaconial congenital muscular dystrophy,"Infancy, Neonatal",Autosomal recessive,1,2
280640,Occipital pachygyria and polymicrogyria,"Infancy, Neonatal",Autosomal recessive,1,2
280654,Autosomal recessive nail dysplasia,"Childhood, Infancy",Autosomal recessive,2,7
280779,Cutaneous collagenous vasculopathy,Adult,Not applicable,3,5
280785,Bullous diffuse cutaneous mastocytosis,"Infancy, Neonatal",Not applicable,2,14
280794,Pseudoxanthomatous diffuse cutaneous mastocytosis,"Infancy, Neonatal",Not applicable,2,14
280679,Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome,All ages,X-linked recessive,3,0
280763,Severe intellectual disability and progressive spastic paraplegia,"Infancy, Neonatal",Autosomal recessive,1,2
280774,Generalized essential telangiectasia,"Adolescent, Adult",Not applicable,3,10
280840,Congenital pulmonary airway malformation type 2,"Antenatal, Neonatal",Unknown,3,8
280847,Congenital pulmonary airway malformation type 3,"Antenatal, Neonatal",Unknown,3,8
280854,Congenital pulmonary airway malformation type 4,"Antenatal, Neonatal",Unknown,3,8
280827,Congenital pulmonary airway malformation type 0,"Antenatal, Neonatal",Unknown,3,8
280832,Congenital pulmonary airway malformation type 1,"Antenatal, Neonatal",Unknown,3,8
284149,Craniosynostosis-dental anomalies,"Infancy, Neonatal",Autosomal recessive,1,2
284139,"Larsen-like syndrome, B3GAT3 type","Infancy, Neonatal",Autosomal recessive,1,2
284180,Xp22.13p22.2 duplication syndrome,"Infancy, Neonatal",X-linked recessive,2,14
284169,Facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to 10p11.21p12.31 microdeletion,Infancy,"Not applicable, Unknown",2,14
284160,8q21.11 microdeletion syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2,1
284247,Familial retinal arterial macroaneurysm,Childhood,Autosomal recessive,2,7
284232,Autosomal dominant Charcot-Marie-Tooth disease type 2O,Childhood,Autosomal dominant,2,7
284227,TEMPI syndrome,Adult,Unknown,3,0
284271,Autosomal recessive cerebellar ataxia-psychomotor delay syndrome,Childhood,Autosomal recessive,2,7
284264,IgG4-related disease,Adult,Not applicable,3,5
284324,Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia,Childhood,Autosomal recessive,2,7
284282,Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency,"Infancy, Neonatal",Autosomal recessive,1,2
284289,Adult-onset autosomal recessive cerebellar ataxia,Adult,Autosomal recessive,3,0
284343,DICER1 tumor-predisposition syndrome,"Adolescent, Adult, Childhood",Autosomal dominant,2,7
284332,Infantile-onset autosomal recessive nonprogressive cerebellar ataxia,"Infancy, Neonatal",Autosomal recessive,1,2
284339,Pontocerebellar hypoplasia type 7,"Infancy, Neonatal",Autosomal recessive,1,2
284388,Reversible cerebral vasoconstriction syndrome,Adult,Not applicable,3,5
284362,Fetal lung interstitial tumor,"Infancy, Neonatal",Unknown,2,8
284411,"Glycerol kinase deficiency, juvenile form","Adolescent, Childhood",X-linked recessive,2,1
284395,Well-differentiated fetal adenocarcinoma of the lung,All ages,Not applicable,3,10
284400,Small cell carcinoma of the bladder,Adult,Not applicable,3,5
282166,Inherited Creutzfeldt-Jakob disease,"Adult, Elderly",Autosomal dominant,3,13
309854,Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome,Childhood,Autosomal recessive,2,7
309803,Rhizomelic chondrodysplasia punctata type 3,Unknown,Autosomal recessive,3,3
309789,Rhizomelic chondrodysplasia punctata type 1,Unknown,Autosomal recessive,3,3
309796,Rhizomelic chondrodysplasia punctata type 2,Unknown,Autosomal recessive,3,3
314029,High bone mass osteogenesis imperfecta,Childhood,Autosomal dominant,2,7
314022,Gastric adenocarcinoma and proximal polyposis of the stomach,Adult,Autosomal dominant,3,13
314017,Idiopathic linear interstitial keratitis,Adult,Unknown,3,6
314002,Contractures-webbed neck-micrognathia-hypoplastic nipples syndrome,"Infancy, Neonatal",No data available,2,14
313947,2q23.1 microduplication syndrome,"Infancy, Neonatal","Not applicable, Unknown",2,14
313936,PENS syndrome,"Infancy, Neonatal",Not applicable,2,14
313920,Epstein-Barr virus-associated gastric carcinoma,"Adult, Elderly",Multigenic/multifactorial,3,5
313906,Congenital pancreatic cyst,"Infancy, Neonatal",Unknown,2,14
