OrphaCode,DiseaseName,AgeOfOnset,TypeOfInheritance,urgency_tier
2440,Isolated split hand-split foot malformation,"Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive",1
244310,RFT1-CDG,"Infancy, Neonatal",Autosomal recessive,1
244242,HELLP syndrome,Adult,Multigenic/multifactorial,3
296,Ollier disease,"Adolescent, Adult, Childhood",Not applicable,2
2437,Czeizel-Losonci syndrome,"Antenatal, Infancy, Neonatal",Autosomal dominant,2
244275,De novo thrombotic microangiopathy after kidney transplantation,All ages,,3
2438,Hand-foot-genital syndrome,"Antenatal, Neonatal",Autosomal dominant,3
243343,Dimethylglycine dehydrogenase deficiency,Childhood,Autosomal recessive,2
243367,Acute fatty liver of pregnancy,Adult,Multigenic/multifactorial,3
2435,Hypo- and hypermelanotic cutaneous macules-retarded growth-intellectual disability syndrome,"Infancy, Neonatal",Unknown,2
2429,Macrocephaly-spastic paraplegia-dysmorphism syndrome,Childhood,Autosomal recessive,2
2432,Macrosomia-microphthalmia-cleft palate syndrome,"Antenatal, Neonatal",,3
2489,Upper limb defect-eye and ear abnormalities syndrome,"Infancy, Neonatal",,2
247353,Generalized pustular psoriasis,Adult,"Autosomal recessive, Not applicable",3
247262,Hyperphosphatasia-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1
2487,Lower limb malformation-hypospadias syndrome,Neonatal,,3
247257,Inhalational anthrax,All ages,Not applicable,3
247245,Superficial siderosis,All ages,Not applicable,3
2485,Melorheostosis,All ages,Not applicable,3
247239,Non-hereditary degenerative ataxia,Adult,Not applicable,3
247234,Sporadic adult-onset ataxia of unknown etiology,"Adult, Elderly",Not applicable,3
2483,Melkersson-Rosenthal syndrome,Childhood,,2
247203,Collecting duct carcinoma,Adult,Not applicable,3
2484,Melnick-Needles syndrome,Childhood,X-linked dominant,2
247198,Progressive cerebello-cerebral atrophy,"Infancy, Neonatal",Autosomal recessive,1
2481,Neurocutaneous melanocytosis,Childhood,Not applicable,2
2482,Melhem-Fahl syndrome,Neonatal,,3
247165,Infantile mercury poisoning,Infancy,Not applicable,2
2477,Isolated megalencephaly,"Antenatal, Neonatal",Autosomal recessive,1
2479,Megalocornea-intellectual disability syndrome,"Childhood, Infancy, Neonatal",,2
2475,White forelock with malformations,"Infancy, Neonatal",,2
2476,Dysraphism-cleft lip/palate-limb reduction defects syndrome,Antenatal,,3
2473,McKusick-Kaufman syndrome,"Antenatal, Neonatal",Autosomal recessive,1
2471,McDonough syndrome,"Infancy, Neonatal",,2
2470,Matthew-Wood syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
561,Marshall-Smith syndrome,"Infancy, Neonatal",Autosomal dominant,2
2464,"Marfanoid syndrome, De Silva type","Adult, Childhood",,2
559,Marinesco-Sjögren syndrome,"Childhood, Infancy",Autosomal recessive,2
2463,Marfanoid habitus-autosomal recessive intellectual disability syndrome,"Childhood, Infancy",Autosomal recessive,2
2462,Shprintzen-Goldberg syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Multigenic/multifactorial, Not applicable",2
2461,Marden-Walker syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
251630,Anaplastic oligodendroglioma,Adult,Not applicable,3
2172,Microcephaly-glomerulonephritis-marfanoid habitus syndrome,Neonatal,Autosomal recessive,1
251636,Ependymoma,All ages,Not applicable,3
251639,Subependymoma,Adult,,3
251643,Myxopapillary ependymoma,"Adolescent, All ages, Childhood",Not applicable,2
2176,Infantile systemic hyalinosis,"Infancy, Neonatal",Autosomal recessive,1
251646,Anaplastic ependymoma,"Adolescent, Adult, Childhood",Not applicable,2
2181,Hydrocephaly-tall stature-joint laxity syndrome,Infancy,Autosomal recessive,2
2180,Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome,Neonatal,Unknown,3
251663,Anaplastic oligoastrocytoma,Adult,Not applicable,3
2186,Hydrocephalus-blue sclerae-nephropathy syndrome,No data available,Unknown,3
251671,Angiocentric glioma,All ages,,3
2189,Hydrolethalus,"Antenatal, Neonatal",Autosomal recessive,1
251674,Chordoid glioma,Adult,,3
251679,Astroblastoma,"Adolescent, Adult, Childhood, Infancy",Not applicable,2
312,Autosomal dominant epidermolytic ichthyosis,Neonatal,Autosomal dominant,3
2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,Childhood,Autosomal recessive,2
251576,Gliosarcoma,Adult,Not applicable,3
2150,Hirschsprung disease-type D brachydactyly syndrome,Neonatal,,3
251582,Gliomatosis cerebri,Adult,Not applicable,3
251579,Giant cell glioblastoma,Adult,Not applicable,3
2152,Mowat-Wilson syndrome,"Antenatal, Neonatal",Autosomal dominant,3
2153,Hirschsprung disease-nail hypoplasia-dysmorphism syndrome,Neonatal,Autosomal recessive,1
251589,Anaplastic astrocytoma,Adult,Not applicable,3
251598,Protoplasmic astrocytoma,Childhood,Not applicable,2
2155,Hirschsprung disease-deafness-polydactyly syndrome,Neonatal,Autosomal recessive,1
251595,Diffuse astrocytoma,"Adolescent, Adult, Childhood",,2
2158,Histidinuria-renal tubular defect syndrome,"Childhood, Infancy",,2
251612,Pilocytic astrocytoma,All ages,Not applicable,3
2163,Holoprosencephaly-craniosynostosis syndrome,"Antenatal, Neonatal",,3
251607,Pleomorphic xanthoastrocytoma,All ages,Not applicable,3
2165,Holoprosencephaly-caudal dysgenesis syndrome,"Antenatal, Neonatal",,3
251615,Pilomyxoid astrocytoma,All ages,Not applicable,3
2166,Holoprosencephaly-postaxial polydactyly syndrome,"Antenatal, Neonatal",Autosomal recessive,1
251627,Oligodendroglioma,All ages,Not applicable,3
2167,Holzgreve syndrome,"Antenatal, Neonatal",,3
251623,Pituicytoma,Adult,Not applicable,3
2169,Methylcobalamin deficiency type cblE,Childhood,Autosomal recessive,2
251931,Cerebellar liponeurocytoma,Adult,Not applicable,3
2222,Hypertrichosis lanuginosa congenita,Childhood,Autosomal dominant,2
2220,Hypertrichosis cubiti,Childhood,Autosomal dominant,2
1051,Ramos-Arroyo syndrome,"Infancy, Neonatal",Autosomal dominant,2
251940,Desmoplastic infantile astrocytoma/ganglioglioma,"Infancy, Neonatal",Not applicable,2
251946,Dysembryoplastic neuroepithelial tumor,All ages,Not applicable,3
2228,Hypodontia-dysplasia of nails syndrome,Childhood,Autosomal dominant,2
2224,Hypertryptophanemia,"Childhood, Infancy, Neonatal",Autosomal recessive,1
251937,Gangliocytoma,"Adolescent, Childhood, Infancy",,2
2232,Primary hypergonadotropic hypogonadism-partial alopecia syndrome,Neonatal,Autosomal recessive,1
2230,Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome,Childhood,Autosomal dominant,2
2229,Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,"Infancy, Neonatal",Autosomal recessive,1
2238,Familial isolated hypoparathyroidism,All ages,"Autosomal dominant, Autosomal recessive, X-linked recessive",3
2237,Hypoparathyroidism-sensorineural deafness-renal disease syndrome,All ages,Autosomal dominant,3
2235,Hypogonadotropic hypogonadism-retinitis pigmentosa syndrome,No data available,Unknown,3
251992,Ganglioneuroma,"Adolescent, Childhood, Infancy",,2
2234,Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome,Neonatal,Unknown,3
251867,Classic medulloblastoma,Childhood,,2
2199,Epidermolytic palmoplantar keratoderma,"Infancy, Neonatal",Autosomal dominant,2
251863,Desmoplastic/nodular medulloblastoma,Adult,Not applicable,3
2200,Focal palmoplantar and gingival keratoderma,Childhood,,2
2198,Palmoplantar keratoderma-esophageal carcinoma syndrome,"Adolescent, Adult",Autosomal dominant,3
251858,Medulloblastoma with extensive nodularity,"Childhood, Infancy",Not applicable,2
495,Transgrediens et progrediens palmoplantar keratoderma,Childhood,,2
251855,Anaplastic/large cell medulloblastoma,"Infancy, Neonatal",,2
2206,Ankylosing vertebral hyperostosis with tylosis,Adult,Autosomal dominant,3
2201,Palmoplantar keratoderma-spastic paralysis syndrome,All ages,Autosomal dominant,3
251877,Ganglioneuroblastoma,"Childhood, Infancy",Not applicable,2
2202,Palmoplantar keratoderma-deafness syndrome,Childhood,"Autosomal dominant, Mitochondrial inheritance",2
251870,Central nervous system embryonal tumor,Childhood,Not applicable,2
251899,Choroid plexus carcinoma,Childhood,Autosomal dominant,2
2213,Hypertelorism-microtia-facial clefting syndrome,"Antenatal, Neonatal",Autosomal recessive,1
2211,Hypertelorism-hypospadias-polysyndactyly syndrome,Neonatal,Autosomal recessive,1
251915,Papillary tumor of the pineal region,All ages,Not applicable,3
251912,Pineocytoma,"Adult, Elderly",,3
2218,Cervical hypertrichosis-peripheral neuropathy syndrome,Childhood,Autosomal recessive,2
251909,Pineoblastoma,"Adolescent, Adult, Childhood, Infancy",Not applicable,2
2215,Multiple pterygium-malignant hyperthermia syndrome,Neonatal,Autosomal recessive,1
2216,Maternal hyperthermia-induced birth defects,"Antenatal, Neonatal",,3
251019,2q32q33 deletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
2266,"Hypotrichosis-intellectual disability, Lopes type","Childhood, Infancy",Autosomal recessive,2
251028,SATB2-associated syndrome due to a chromosomal rearrangement,"Infancy, Neonatal","Not applicable, Unknown",2
2269,Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1
251038,3q29 microduplication syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
250999,1q41q42 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
2261,"Hypospadias-intellectual disability, Goldblatt type syndrome","Infancy, Neonatal",,2
251004,Paternal uniparental disomy of chromosome 1 syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
251009,Maternal uniparental disomy of chromosome 1 syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
672,Pallister-Hall syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Not applicable",2
251014,2q31.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
455,Superficial epidermolytic ichthyosis,"Infancy, Neonatal",Autosomal dominant,2
251061,7q31 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
251066,8p11.2 deletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
2272,Ichthyosis-oral and digital anomalies syndrome,"Infancy, Neonatal",Autosomal recessive,1
251071,8p23.1 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
2274,Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
251076,8p23.1 duplication syndrome,"Antenatal, Infancy, Neonatal","Not applicable, Unknown",2
2273,Ichthyosis follicularis-alopecia-photophobia syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable, X-linked recessive",2
251043,Ring chromosome 5 syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
165,Neutral lipid storage disease,"Infancy, Neonatal",Autosomal recessive,1
139,CHILD syndrome,"Antenatal, Infancy, Neonatal",X-linked dominant,2
251046,6p22 microdeletion syndrome,"Infancy, Neonatal","Not applicable, Unknown",2
457,Harlequin ichthyosis,Neonatal,Autosomal recessive,1
2271,Congenital ichthyosis-microcephalus-tetraplegia syndrome,"Infancy, Neonatal",Unknown,2
251056,6q25.2q25.3 microdeletion syndrome,"Infancy, Neonatal",Not applicable,2
2246,Cerebellar hypoplasia-tapetoretinal degeneration syndrome,Infancy,,2
250831,Logopenic progressive aphasia,Adult,"Multigenic/multifactorial, Not applicable",3
2249,Ulna hypoplasia-intellectual disability syndrome,"Infancy, Neonatal",Autosomal recessive,1
2239,Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,"Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
2241,Megacystis-microcolon-intestinal hypoperistalsis syndrome,"Antenatal, Infancy, Neonatal","Autosomal dominant, Autosomal recessive",1
250984,Autosomal recessive Stickler syndrome,Childhood,Autosomal recessive,2
2256,Fibulo-ulnar hypoplasia-renal anomalies syndrome,"Antenatal, Neonatal",,3
2257,Primary pulmonary hypoplasia,Neonatal,,3
250977,AICA-ribosiduria,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
250994,1q21.1 microduplication syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
250989,1q21.1 microdeletion syndrome,"Infancy, Neonatal","Autosomal dominant, Not applicable",2
2250,Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome,"Antenatal, Neonatal","Autosomal dominant, Unknown",3
250923,Isolated aniridia,Neonatal,"Autosomal dominant, Not applicable",3
2251,Thumb deformity-alopecia-pigmentation anomaly syndrome,"Infancy, Neonatal",,2
2252,Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,Neonatal,,3
250972,Polymicrogyria with optic nerve hypoplasia,"Infancy, Neonatal",Autosomal recessive,1
2255,Pancreatic hypoplasia-diabetes-congenital heart disease syndrome,All ages,Autosomal dominant,3
250932,Autosomal dominant optic atrophy and peripheral neuropathy,Childhood,Autosomal dominant,2
251380,Hereditary persistence of fetal hemoglobin-sickle cell disease syndrome,All ages,Autosomal recessive,3
2306,Isotretinoin-like syndrome,"Infancy, Neonatal","Autosomal recessive, X-linked recessive",1
251383,CK syndrome,"Infancy, Neonatal",X-linked recessive,2
2305,Isotretinoin syndrome,"Antenatal, Infancy, Neonatal",Not applicable,2
251370,Sickle cell S-D Punjab disease,All ages,Autosomal recessive,3
251375,Sickle cell S-E disease,All ages,Autosomal recessive,3
251359,Sickle cell-beta-thalassemia disease,All ages,Autosomal recessive,3
251365,Sickle cell S-C disease,All ages,Autosomal recessive,3
2295,Familial articular hypermobility syndrome,"Adolescent, Childhood, Infancy",Autosomal dominant,2
2319,Juberg-Hayward syndrome,"Antenatal, Neonatal","Autosomal dominant, Autosomal recessive",1
251523,Hyperzincemia and hypercalprotectinemia,Childhood,Unknown,2
2316,Johnson neuroectodermal syndrome,Childhood,Autosomal dominant,2
2315,Johanson-Blizzard syndrome,"Antenatal, Infancy, Neonatal",Autosomal recessive,1
251510,"46,XY partial gonadal dysgenesis","Infancy, Neonatal","Autosomal dominant, Autosomal recessive, X-linked recessive, Y-linked",1
251515,Distal arthrogryposis type 10,"Infancy, Neonatal",Autosomal dominant,2
2310,Absence deformity of leg-cataract syndrome,Antenatal,,3
2309,Pachyonychia congenita,All ages,"Autosomal dominant, Autosomal recessive",3
251393,Localized junctional epidermolysis bullosa,"Infancy, Neonatal",Autosomal recessive,1
2307,IVIC syndrome,"Antenatal, Neonatal",Autosomal dominant,3
251295,Pigmented paravenous retinochoroidal atrophy,All ages,"Autosomal dominant, Not applicable",3
251290,Parietal foramina with clavicular hypoplasia,"Infancy, Neonatal",Autosomal dominant,2
2282,Dysmorphism-short stature-deafness-difference of sex development syndrome,"Infancy, Neonatal",Autosomal recessive,1
251287,Benign concentric annular macular dystrophy,Childhood,Autosomal dominant,2
251282,Autosomal dominant spastic ataxia type 1,"Adolescent, Adult, Childhood",Autosomal dominant,2
251279,Microphthalmia-retinitis pigmentosa-foveoschisis-optic disc drusen syndrome,Adult,Autosomal recessive,3
251274,Familial hyperaldosteronism type III,"Adolescent, Childhood, Infancy",Autosomal dominant,2
2278,Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome,Neonatal,,3
251262,Familial osteochondritis dissecans,Childhood,Autosomal dominant,2
2291,Congenital velopharyngeal incompetence,Neonatal,Autosomal dominant,3
251347,Ataxia-telangiectasia-like disorder,"Infancy, Neonatal",Autosomal recessive,1
251332,Unexplained long-lasting fever/inflammatory syndrome,All ages,,3
251328,Unclassified vasculitis,,Not applicable,3
2289,Neuronal intranuclear inclusion disease,"Adolescent, Adult, Childhood, Infancy",Autosomal dominant,2
2290,Microvillus inclusion disease,"Infancy, Neonatal",Autosomal recessive,1
2287,Fused mandibular incisors,"Adolescent, Adult, Childhood",,2
2285,Primary basilar invagination,All ages,Autosomal dominant,3
251307,Idiopathic recurrent pericarditis,All ages,Not applicable,3
251304,Infantile onset panniculitis with uveitis and systemic granulomatosis,"Infancy, Neonatal",Not applicable,2
2674,Cyprus facial-neuromusculoskeletal syndrome,"Antenatal, Neonatal",Autosomal dominant,3
254837,Unspecified mitochondrial disorder,,"Autosomal recessive, X-linked recessive",3
2673,Neurofaciodigitorenal syndrome,"Antenatal, Neonatal",,3
2672,Neuhauser-Eichner-Opitz syndrome,"Childhood, Infancy",Autosomal dominant,2
254857,Lethal infantile mitochondrial myopathy,"Infancy, Neonatal",Mitochondrial inheritance,2
2678,Familial isolated café-au-lait macules,Childhood,Autosomal dominant,2
254864,Mitochondrial myopathy with reversible cytochrome C oxidase deficiency,"Infancy, Neonatal",Mitochondrial inheritance,2
254851,Mitochondrial DNA-related dystonia,Childhood,Mitochondrial inheritance,2
254854,Pure mitochondrial myopathy,"Adolescent, Childhood",Mitochondrial inheritance,2
2668,Nephropathy-deafness-hyperparathyroidism syndrome,Childhood,Autosomal recessive,2
2663,Nathalie syndrome,Childhood,,2
2662,Keipert syndrome,"Antenatal, Infancy, Neonatal",X-linked recessive,2
254803,"Mitochondrial DNA depletion syndrome, encephalomyopathic form","Infancy, Neonatal",Autosomal recessive,1
2671,Neu-Laxova syndrome,Antenatal,Autosomal recessive,1
1475,Renal coloboma syndrome,Childhood,Autosomal dominant,2
2670,Pierson syndrome,"Childhood, Neonatal",Autosomal recessive,1
2669,Nephrosis-deafness-urinary tract-digital malformations syndrome,"Infancy, Neonatal",Unknown,2
254930,Combined oxidative phosphorylation defect type 7,"Childhood, Infancy",Autosomal recessive,2
254925,Combined oxidative phosphorylation defect type 4,Neonatal,Autosomal recessive,1
2697,Arthrogryposis-renal dysfunction-cholestasis syndrome,Neonatal,Autosomal recessive,1
254920,Combined oxidative phosphorylation defect type 2,Neonatal,Autosomal recessive,1
